Country,2005 Population
Afghanistan,"29,863,000"
Albania,"3,130,000"
Algeria,"32,854,000"
American Samoa (US),"65,000"
Andorra,"67,000"
Angola,"15,941,000"
Anguilla  (UK),"12,000"
Antigua and Barbuda,"81,000"
Argentina,"38,747,000"
Armenia,"3,016,000"
Aruba (Netherlands),"99,000"
Australia[4],"20,155,000"
Austria,"8,189,000"
Azerbaijan,"8,411,000"
Bahrain,"727,000"
Bangladesh,"141,822,000"
Barbados,"270,000"
Belarus,"9,749,000"
Belgium,"10,495,000"
Belize,"270,000"
Benin,"8,439,000"
Bermuda (UK),"64,000"
Bhutan[9],"2,163,000"
Bolivia,"9,182,000"
Bosnia and Herzegovina,"3,907,000"
Botswana,"1,765,000"
Brazil,"186,405,000"
British Virgin Islands (UK),"22,000"
Brunei,"374,000"
Bulgaria,"7,726,000"
Burkina Faso,"13,228,000"
Burundi,"7,548,000"
Cambodia,"14,071,000"
Cameroon,"16,322,000"
Canada,"32,268,000"
Cape Verde,"507,000"
Cayman Islands (UK),"45,000"
Central African Republic,"4,038,000"
Chad,"9,755,000"
Channel Islands (UK)[14],"149,000"
Chile,"16,295,000"
China (Mainland),"1,307,593,000"
Colombia,"45,600,000"
Comoros[12],"798,000"
Cook Islands (NZ),"18,000"
Costa Rica,"4,327,000"
Croatia,"4,551,000"
Cuba,"11,269,000"
Cyprus[11],"835,000"
Czech Republic,"10,220,000"
Côte d'Ivoire,"18,154,000"
Democratic Republic of the Congo,"57,549,000"
Denmark,"5,431,000"
Djibouti,"793,000"
Dominica,"79,000"
Dominican Republic,"8,895,000"
East Timor,"947,000"
Ecuador,"13,228,000"
Egypt,"74,033,000"
El Salvador,"6,881,000"
Equatorial Guinea,"504,000"
Eritrea,"4,401,000"
Estonia,"1,330,000"
Ethiopia,"77,431,000"
Falkland Islands (UK),"3,000"
Faroe Islands (Denmark),"47,000"
Federated States of Micronesia,"110,000"
Fiji,"848,000"
Finland[7],"5,249,000"
France,"65,446,000"
French Guiana (France),"187,000"
French Polynesia (France),"257,000"
Gabon,"1,384,000"
Georgia,"4,474,000"
Germany,"82,689,000"
Ghana,"22,113,000"
Gibraltar (UK),"28,000"
Greece,"11,120,000"
Greenland (Denmark),"57,000"
Grenada,"103,000"
Guadeloupe (France),"448,000"
Guam (US),"170,000"
Guatemala,"12,884,000"
Guinea,"9,402,000"
Guinea-Bissau,"1,586,000"
Guyana,"751,000"
Haiti,"8,528,000"
Honduras,"7,205,000"
Hong Kong (PR China),"7,041,000"
Hungary,"10,098,000"
Iceland,"295,000"
India[2],"1,103,371,000"
Indonesia,"222,781,000"
Iran,"69,515,000"
Iraq,"28,807,000"
Ireland,"4,148,000"
