United States[f],10624056,246291,5858772,0.023,0.551
India,8683916,128121,8066501,0.015,0.929
Brazil,5783647,164332,5256767,0.028,0.909
France[g],1898710,42960,134954,0.023,0.071
Russia[h],1858568,32032,1388168,0.017,0.747
Spain[i],1437220,40461,,0.028,
United Kingdom[j],1290195,50928,,0.039,
Argentina[k],1284506,34782,1100167,0.027,0.856
Colombia,1174012,33491,1081691,0.029,0.921
Italy,1066401,43589,387758,0.041,0.364
Mexico,991835,97056,736197,0.098,0.742
Peru,930237,35067,856023,0.038,0.920
Germany[l],749638,12276,467720,0.016,0.624
South Africa,744732,20076,690903,0.027,0.928
Iran,726585,40121,541566,0.055,0.745
Poland,641496,9080,254349,0.014,0.396
Chile[m],524804,14633,501426,0.028,0.955
Belgium[n],515391,13758,,0.027,
Iraq,511806,11532,439228,0.023,0.858
Ukraine[o],500865,9145,227694,0.018,0.455
Indonesia,452291,14933,382084,0.033,0.845
Czech Republic,446675,5755,300719,0.013,0.673
Netherlands[p],430453,8304,,0.019,
Bangladesh,427198,6140,344868,0.014,0.807
Turkey[q],404894,11233,346794,0.028,0.857
Philippines,402820,7721,362417,0.019,0.900
Saudi Arabia,352160,5605,339114,0.016,0.963
Pakistan,349992,7055,320849,0.020,0.917
Romania,334236,8510,224916,0.025,0.673
Israel[r],322159,2706,310605,0.008,0.964
Canada[s],281448,10764,226390,0.038,0.804
Morocco[t],276821,4570,226040,0.017,0.817
Switzerland[u],250396,2863,130100,0.011,0.520
Nepal,204242,1189,164592,0.006,0.806
Portugal,198011,3181,113689,0.016,0.574
Ecuador,177513,12946,154956,0.073,0.873
Austria,181642,1608,107875,0.009,0.594
Sweden,171365,6122,,0.036,
United Arab Emirates,146735,523,141215,0.004,0.962
Bolivia,142664,8808,115199,0.062,0.807
Panama,142465,2823,120823,0.020,0.848
Qatar,135132,234,132153,0.002,0.978
Kuwait,134932,830,125593,0.006,0.931
Jordan,132086,1547,,0.012,
Dominican Republic,131636,2274,109135,0.017,0.829
Hungary,126790,2784,29302,0.022,0.231
Costa Rica,120939,1527,74255,0.013,0.614
Oman,119442,1326,110050,0.011,0.921
Kazakhstan,118491,1899,108632,0.016,0.917
Guatemala,113543,3858,103174,0.034,0.909
Armenia,112680,1668,70130,0.015,0.622
Japan[v],111711,1851,100005,0.017,0.895
Belarus,110455,1027,92843,0.009,0.841
Egypt[w],110095,6417,110095,0.058,1.000
Ethiopia,101248,1554,63268,0.015,0.625
Honduras,101169,2797,43857,0.028,0.434
Lebanon,100703,775,55706,0.008,0.553
Venezuela,95750,838,90743,0.009,0.948
Bulgaria,90725,1970,27587,0.022,0.304
China[x],86307,4634,81279,0.054,0.942
Moldova[y],86038,1969,67270,0.023,0.782
Bahrain,84192,332,81846,0.004,0.972
Slovakia,81772,464,24314,0.006,0.297
Tunisia,76106,2151,51807,0.028,0.681
Croatia,75922,925,58649,0.012,0.772
Serbia[z],73765,955,,0.013,
Libya,71804,985,42703,0.014,0.595
Azerbaijan[aa],70216,905,51986,0.013,0.740
Georgia[ab],69681,599,52169,0.009,0.749
Paraguay,69653,1543,50045,0.022,0.718
Uzbekistan,69560,593,66814,0.009,0.961
Bosnia and Herzegovina,68293,1750,33690,0.026,0.493
Kenya,66723,1203,44040,0.018,0.660
Greece,66637,959,,0.014,
Ireland,66632,1965,24000,0.029,0.360
Myanmar,65598,1508,49563,0.023,0.756
Algeria,65108,2111,42980,0.032,0.660
Kyrgyzstan,64887,1193,55824,0.018,0.860
Nigeria,64728,1162,60790,0.018,0.939
Palestine,60784,542,52861,0.009,0.870
Singapore,58102,28,58002,0.000,0.998
Denmark[ac],57963,755,44693,0.013,0.771
Slovenia,50870,686,,0.013,
Ghana,49957,320,48096,0.006,0.963
North Macedonia,43835,1238,25782,0.028,0.588
Malaysia,43791,303,32069,0.007,0.732
Afghanistan,42795,1591,35024,0.037,0.818
Puerto Rico,39968,909,,0.023,
El Salvador,36030,1028,32246,0.029,0.895
Lithuania,29812,244,7096,0.008,0.238
South Korea,27942,487,25404,0.017,0.909
Australia[ad],27699,907,25464,0.033,0.919
Norway[ae],27228,291,11863,0.011,0.436
Albania,26211,598,12574,0.023,0.480
Kosovo,26121,772,16449,0.030,0.630
Montenegro,25509,364,16788,0.014,0.658
Luxembourg,25218,211,14798,0.008,0.587
Cameroon,22421,433,20510,0.019,0.915
Ivory Coast,20835,126,20516,0.006,0.985
Finland[af],18542,365,14000,0.020,0.755
Madagascar,17223,249,16516,0.014,0.959
Zambia,16971,349,16011,0.021,0.943
Sri Lanka,15723,48,10653,0.003,0.678
Senegal,15720,326,15366,0.021,0.977
Uganda,14993,139,7939,0.009,0.530
Donetsk PR[ag],14190,600,3517,0.042,0.248
Sudan,14155,1116,9.492,0.079,0.001
Mozambique,13991,104,11959,0.007,0.855
Namibia,13240,134,11620,0.010,0.878
Angola,12680,308,5927,0.024,0.467
Guinea,12426,74,10829,0.006,0.871
Maldives,12030,41,11182,0.003,0.930
DR Congo[ah],11591,316,10838,0.027,0.935
Tajikistan,11376,83,10711,0.007,0.942
French Polynesia,9995,39,4842,0.004,0.484
Jamaica,9580,225,4991,0.023,0.521
Cape Verde,9419,100,8717,0.011,0.925
Haiti,9109,232,7589,0.025,0.833
Gabon,9029,57,8899,0.006,0.986
Zimbabwe,8561,254,8023,0.030,0.937
Latvia,8395,102,1466,0.012,0.175
Mauritania,7725,163,7443,0.021,0.963
Malta,7396,72,5274,0.010,0.713
Cuba[ai],7349,130,6721,0.018,0.915
Bahamas[aj],6964,154,4943,0.022,0.710
Estonia,6508,76,4378,0.012,0.673
Botswana[ak],6441,27,5534,0.004,0.859
Syria[al],6284,321,2405,0.051,0.383
Cyprus[am],6098,28,1882,0.005,0.309
Eswatini,6013,117,5732,0.019,0.953
Malawi,5953,185,5359,0.031,0.900
